category_id,name,unit_of_measurement,price_reg,price_disc,pricing_clarification
251C12891,Сэндвич с индейкой Пятерочка Кафе 175г,шт,199.99,,175 г
251C12891,Хумус с кедровыми орешками Рестория Шеф 200г,шт,142.99,,200 г
251C12891,Запеканка Вкус & Польза творожная с яблоком и корицей 200г,шт,169.99,139.99,200 г
251C12891,Блинчики с ветчиной и сыром Пятерочка Кафе 160г,шт,129.99,,160 г
251C12891,Сэндвич-ролл с бужениной Пятерочка Кафе 175г,шт,169.99,,175 г
251C12891,Запеканка Вкус & Польза творожная с черной смородиной 200г,шт,169.99,139.99,200 г
251C12891,"Набор одноразовой посуды Liberhaus Вилка, ложка, нож, салфетка в ассортименте 1шт",шт,25.99,,1 шт
251C12891,Блинчики шоколадные с белым шоколадом замороженные С пылу с жару 220г,шт,269.99,,220 г
251C12891,Ложки одноразовые Econta столовые 165 мм 12шт,шт,24.99,,12 шт
251C12891,Каша Гурьевская на топленом молоке с изюмом Пятерочка Кафе 200г,шт,99.99,,200 г
251C12891,Сэндвич-ролл с индейкой Пятерочка Кафе 230г,шт,224.99,,230 г
251C12891,Блинчики С пылу с жару фаршированные с малиной замороженные 360г,шт,179.99,139.99,360 г
251C12891,Блинчики с мясом Пятерочка Кафе 160г,шт,149.99,,160 г
251C12891,Блины с печенью замороженные Останкино 420г,шт,149.99,119.99,420 г
251C12891,Хумус с острым соусом Рестория Шеф 200г,шт,134.99,,200 г
251C12891,Блинчики С пылу с жару с яблоком и корицей замороженные 300г,шт,199.99,119.99,300 г
251C12891,Блинчики С пылу с жару с манго и маракуйей замороженные 300г,шт,199.99,119.99,300 г
251C12891,Набор одноразовой посуды Econta на 6 персон белый,шт,90.99,,100 г
251C12891,Оладьи-сэндвичи с ореховой пастой замороженные С пылу с жару 60г,шт,48.99,,60 г
251C12891,Блинчики с творогом Пятерочка Кафе 160г,шт,129.99,,160 г
251C12891,Сэндвич с мортаделлой Пятерочка Кафе 155г,шт,189.99,,155 г
251C12891,Сэндвич с ростбифом Пятерочка Кафе 195г,шт,259.99,,195 г
251C12891,Блинчики с вишней Пятерочка Кафе 160г,шт,109.99,,160 г
251C12891,Каша рисовая с яблочно-апельсиновым соусом замороженная Фросток 320г,шт,133.99,,320 г
251C12891,Оладьи-сэндвичи С пылу с жару с вареной сгущенкой замороженные 60г,шт,49.99,,60 г
251C12891,Блинчики Останкино круглые с грушей быстрозамороженные 420г,шт,189.99,149.99,420 г
251C13103,Рулетики из ветчины с сыром Пятерочка Кафе 150г,шт,169.99,,150 г
251C13103,Чебупицца Пепперони Горячая Штучка 250г,шт,239.98,,250 г
251C13103,Хотстеры Горячая Штучка 250г,шт,198.99,,250 г
251C13103,Чебупицца Курочка по-итальянски Горячая Штучка 250г,шт,209.99,,250 г
251C13103,Чебупели с ветчиной и сыром Горячая штучка 250г,шт,209.99,,250 г
251C13103,Чебупели Сочные с мясом Горячая Штучка 250г,шт,199.99,,250 г
251C13103,Морс клюквенный Пятерочка Кафе 0.5л,шт,99.99,,500 мл
251C13103,Чебурек Твистер's band Чебурито с мясом замороженный 85г,шт,31.99,,85 г
251C13103,Морс облепиховый Пятерочка Кафе 0.5л,шт,99.99,,500 мл
251C13103,Круггетсы с сырным соусом Горячая Штучка 250г,шт,199.99,139.99,250 г
251C13103,Сэндвич куриный с беконом Пятерочка Кафе 185г,шт,199.99,,185 г
251C13103,Онигири с тунцом и соусом Спайси Пятерочка Кафе 110г,шт,129.99,,110 г
251C13103,Лимонад Лимон-имбирь Пятерочка Кафе 500мл,шт,94.99,,500 мл
251C13103,Онигири с крабовыми палочками и соусом Спайси Пятерочка Кафе 110г,шт,119.99,,110 г
251C13103,Сэндвич-ролл с курицей том ям Пятерочка Кафе 195г,шт,169.99,,195 г
251C13103,Смузи банан-манго Пятерочка Кафе 0.3л,шт,124.99,,300 мл
251C13103,Чикен-ролл Пятерочка Кафе 200г,шт,199.99,,200 г
251C13103,Вилки одноразовые Econta белые 12шт.,шт,24.99,,12 шт
251C13103,Чебурек Богатырь с мясом Жаренки 180г,шт,99.99,,180 г
251C13103,Сэндвич-ролл с креветкой Пятерочка Кафе 165г,шт,209.99,,165 г
251C13103,Онигири с кальмаром и соусом Том Ям Пятерочка Кафе 110г,шт,129.99,,110 г
251C13103,Смузи банан-клубника-базилик Пятерочка Кафе 0.3л,шт,124.99,,300 мл
251C13103,Сэндвич с индейкой Пятерочка Кафе 175г,шт,199.99,,175 г
251C13103,Сэндвич-ролл с бужениной Пятерочка Кафе 175г,шт,169.99,,175 г
251C13103,"Онигири с угрем, курицей и шампиньонами Пятерочка Кафе 110г",шт,139.99,,110 г
251C13103,"Набор одноразовой посуды Liberhaus Вилка, ложка, нож, салфетка в ассортименте 1шт",шт,25.99,,1 шт
251C13103,Ложки одноразовые Econta столовые 165 мм 12шт,шт,24.99,,12 шт
251C13103,Сэндвич-ролл Цезарь Пятерочка Кафе 200г,шт,189.99,,200 г
251C13103,Сэндвич-ролл с индейкой Пятерочка Кафе 230г,шт,224.99,,230 г
251C13103,Крылышки Хрустящие острые к пиву Горячая Штучка 300г,шт,313.99,,300 г
251C13103,Набор одноразовой посуды Econta на 6 персон белый,шт,90.99,,100 г
251C13103,Сэндвич с мортаделлой Пятерочка Кафе 155г,шт,189.99,,155 г
251C13103,Чебуречище Горячая штучка 140г,шт,84.99,,140 г
251C13103,Сэндвич с ростбифом Пятерочка Кафе 195г,шт,259.99,,195 г
251C13103,Мясные шарики Dance-боллы из мяса индейки запеченные замороженные Индилайт 250г,шт,299.99,175.99,250 г
251C13103,Онигири с курицей терияки Пятерочка Кафе 110г,шт,114.99,,110 г
251C13103,Булочки Bibigo Бао со свининой замороженные 320г,шт,453.99,,320 г
251C13979,Салат сельдь под шубой Пятерочка Кафе 250г,шт,179.99,,250 г
251C13979,Салат с кальмаром Пятерочка Кафе 200г,шт,189.99,,200 г
251C13979,Салат Оливье Пятерочка Кафе 200г,шт,139.99,,200 г
251C13979,Салат Крабовый Пятерочка Кафе 200г,шт,159.99,,200 г
251C13979,Салат Гнездо глухаря Пятерочка Кафе 200г,шт,189.99,,200 г
251C13979,Салат Черепаха с курицей и грецким орехом Пятерочка Кафе 200г,шт,199.99,,200 г
251C13979,Салат печеночный с картофелем и грибами Пятерочка Кафе 200г,шт,179.99,,200 г
251C13979,Салат Деревенский с курицей и фасолью Пятерочка Кафе 200г,шт,159.99,,200 г
251C13979,Салат оливье Пятерочка Кафе 500г,шт,279.99,,500 г
251C13979,Салат Весенний Пятерочка Кафе 160г,шт,119.99,,160 г
251C13979,Салат Коул Слоу капустный с апельсиновым соком Пятерочка Кафе 200г,шт,139.99,,200 г
251C13979,Рулетики из ветчины с сыром Пятерочка Кафе 150г,шт,169.99,,150 г
251C13979,Салат Мимоза Пятерочка Кафе 200г,шт,179.99,,200 г
251C13979,Салат Свекольный Рестория Шеф 200г,шт,109.99,,200 г
251C13979,Салат сельдь под шубой Пятерочка Кафе 500г,шт,299.99,,500 г
251C13979,Салат Грин Микс с курицей и шампиньонами Пятерочка Кафе 150г,шт,179.99,,150 г
251C13979,Салат Фермерский с салями Пятерочка Кафе 200г,шт,149.99,,200 г
251C13979,Салат Лесной с грибами Пятерочка Кафе 180г,шт,119.99,,180 г
251C13979,Салат Кобб Пятерочка Кафе 170г,шт,169.99,,170 г
251C13979,Чебупицца Пепперони Горячая Штучка 250г,шт,239.98,,250 г
251C13979,Хотстеры Горячая Штучка 250г,шт,198.99,,250 г
251C13979,Чебупицца Курочка по-итальянски Горячая Штучка 250г,шт,209.99,,250 г
251C13979,Чебупели с ветчиной и сыром Горячая штучка 250г,шт,209.99,,250 г
251C13979,Чебупели Сочные с мясом Горячая Штучка 250г,шт,199.99,,250 г
251C13979,Чебурек Твистер's band Чебурито с мясом замороженный 85г,шт,31.99,,85 г
251C13979,Круггетсы с сырным соусом Горячая Штучка 250г,шт,199.99,139.99,250 г
251C13979,Салат морская капуста с крабовым мясом Fish House 400г,шт,119.99,,400 г
251C13979,Салат Витаминный из морской капусты Fish House 430г,шт,99.99,,430 г
251C13979,Салат из морской капусты с кальмаром в майонезе Fish House 250г,шт,114.99,,250 г
251C13979,Салат Чука Fish House 180г,шт,139.99,,180 г
251C13979,Вилки одноразовые Econta белые 12шт.,шт,24.99,,12 шт
251C13979,Чебурек Богатырь с мясом Жаренки 180г,шт,99.99,,180 г
251C13979,Хумус Классический Рестория Шеф 200г,шт,124.99,,200 г
251C13979,Хумус с кедровыми орешками Рестория Шеф 200г,шт,142.99,,200 г
251C13979,Салат Чука в ореховом соусе Fish House 200г,шт,159.99,,200 г
251C13979,"Набор одноразовой посуды Liberhaus Вилка, ложка, нож, салфетка в ассортименте 1шт",шт,25.99,,1 шт
251C13979,Ложки одноразовые Econta столовые 165 мм 12шт,шт,24.99,,12 шт
251C13979,Паштет из шампиньонов Грибная Кухня 230г,шт,159.99,,230 г
251C13979,Салат Капуста по-корейски Рестория Шеф 200г,шт,109.99,,200 г
251C13979,Салат Фунчоза По-Корейски Пятерочка Кафе 200г,шт,129.99,,200 г
251C13979,Салат Баклажаны по-корейски Рестория Шеф 200г,шт,119.99,,200 г
251C13979,Крылышки Хрустящие острые к пиву Горячая Штучка 300г,шт,313.99,,300 г
251C13979,Хумус с острым соусом Рестория Шеф 200г,шт,134.99,,200 г
251C13979,Набор одноразовой посуды Econta на 6 персон белый,шт,90.99,,100 г
251C13979,Треска Меридиан отварная в желе 200г,шт,185.99,,200 г
251C13979,Салат Фаворит с бужениной и шампиньонами Пятерочка Кафе 200г,шт,179.99,,200 г
251C13979,Чебуречище Горячая штучка 140г,шт,84.99,,140 г
251C13979,Салат столичный с курицей Рестория Шеф 200г,шт,134.99,,200 г
251C13979,Спаржа по-корейски Пятерочка Кафе 200г,шт,114.99,,200 г
251C13979,Салат Винегрет овощной с маслом Рестория Шеф 180г,шт,89.99,,180 г
251C13979,Брускетта Bonduelle Хумус из нута 220г,шт,201.59,179.99,250 мл
251C13979,Салат Цезарь с курицей Пятерочка Кафе 160г,шт,174.99,,160 г
251C13979,Салат Нисуаз с тунцом  Пятерочка Кафе 230г,шт,274.99,,230 г
251C13980,Борщ украинский с курицей Пятерочка Кафе 250г,шт,119.99,,250 г
251C13980,Суп куриный с домашней лапшой Пятерочка Кафе 250г,шт,109.99,,250 г
251C13980,Лазанья Болоньезе с сыром в соусе Бешамель Мираторг 350г,шт,209.99,,350 г
251C13980,Суп Солянка сборная мясная по-домашнему Пятерочка Кафе 250г,шт,146.99,,250 г
251C13980,Суп гороховый с копченостями Пятерочка Кафе 250г,шт,129.99,,250 г
251C13980,Паста Карбонара Пятерочка Кафе 250г,шт,159.99,,250 г
251C13980,Шницель куриный с картофельным пюре Пятерочка Кафе 250г,шт,169.99,,250 г
251C13980,Суп Харчо Пятерочка Кафе 250г,шт,136.99,,250 г
251C13980,Плов с курицей Пятерочка Кафе 250г,шт,179.99,,250 г
251C13980,Паста с ветчиной и грибами Пятерочка Кафе 250г,шт,199.99,,250 г
251C13980,Котлета По-Киевски с картофельным пюре Пятерочка Кафе 260г,шт,219.99,,260 г
251C13980,Сэндвич куриный с беконом Пятерочка Кафе 185г,шт,199.99,,185 г
251C13980,Лазанья мясная замороженная Золотой Петушок 370г,шт,219.99,159.99,370 г
251C13980,Лапша Удон с кальмарами и креветками Пятерочка Кафе 250г,шт,259.99,,250 г
251C13980,Сэндвич-ролл с курицей том ям Пятерочка Кафе 195г,шт,169.99,,195 г
251C13980,Суп-пюре грибной Пятерочка Кафе 250г,шт,159.99,,250 г
251C13980,Голень куриная гриль Пятерочка Кафе,кг,74.99,,Цена за 100 г
251C13980,Вилки одноразовые Econta белые 12шт.,шт,24.99,,12 шт
251C13980,Сэндвич-ролл с креветкой Пятерочка Кафе 165г,шт,209.99,,165 г
251C13980,Голубцы ленивые в томатно-сметанном соусе Пятерочка Кафе 250г,шт,179.99,,250 г
251C13980,Паста Болоньезе Пятерочка Кафе 250г,шт,179.99,,250 г
251C13980,Тесто для пельменей охлажденное Тестов 360г,шт,85.99,,360 г
251C13980,Соус соевый S.U.Chef 15г,шт,9.99,,13 мл
251C13980,Сэндвич с индейкой Пятерочка Кафе 175г,шт,199.99,,175 г
251C13980,Лапша Вок с курицей Пятерочка Кафе 250г,шт,189.99,,250 г
251C13980,Сэндвич-ролл с бужениной Пятерочка Кафе 175г,шт,169.99,,175 г
251C13980,Мясо по-французски с запеченным картофелем Пятерочка Кафе 250г,шт,219.99,,250 г
251C13980,"Набор одноразовой посуды Liberhaus Вилка, ложка, нож, салфетка в ассортименте 1шт",шт,25.99,,1 шт
251C13980,Манты с мясом Пятерочка Кафе 240г,шт,174.99,,240 г
251C13980,Ложки одноразовые Econta столовые 165 мм 12шт,шт,24.99,,12 шт
251C13980,Сэндвич-ролл Цезарь Пятерочка Кафе 200г,шт,189.99,,200 г
251C13980,Сэндвич-ролл с индейкой Пятерочка Кафе 230г,шт,224.99,,230 г
251C13980,Солянка По-домашнему замороженая Главсуп 250г,шт,148.99,,250 г
251C13980,Оладьи печеночные с картофельным пюре Пятерочка Кафе 250г,шт,159.99,,250 г
251C13980,Кутабы с сыром и зеленью Пятерочка Кафе 150г,шт,179.99,,150 г
251C13980,Майонез S.U.Chef 51% 10г,шт,9.99,,10 г
251C13980,Пончик с начинкой со вкусом клубники глазированный Don Donut 65г,шт,63.99,,65 г
251C13980,Биточек куриный со спагетти в томатном соусе Пятерочка Кафе 250г,шт,159.99,,250 г
251C13980,Пельмени Супермени со сливочным маслом Горячая Штучка 200г,шт,149.99,109.99,200 г
251C13980,Борщ с курицей замороженный Рестория 250г,шт,132.99,99.99,250 г
251C13980,Плов со свининой Пятерочка Кафе 250г,шт,154.99,,250 г
251C13980,Капуста тушеная с сосисками Пятерочка Кафе 250г,шт,149.99,,250 г
251C13980,Тефтели с пастой фузилли в томатном соусе Пятерочка Кафе 250г,шт,184.99,,250 г
251C13980,Сэндвич с ветчиной и сыром Пятерочка Кафе 185г,шт,139.99,,185 г
251C13980,Биточек с индейкой с гречневой кашей Пятерочка Кафе 250г,шт,169.99,,250 г
251C13980,Набор одноразовой посуды Econta на 6 персон белый,шт,90.99,,100 г
251C13980,Кетчуп томатный S.U.Chef 10г,шт,9.99,,10 г
251C13980,Плов с мясом цыпленка Российская корона 300г,шт,226.99,,300 г
251C13980,Сэндвич с мортаделлой Пятерочка Кафе 155г,шт,189.99,,155 г
251C13980,Оладьи куриные Пятерочка Кафе 200г,шт,189.99,,200 г
251C13980,Сэндвич с ростбифом Пятерочка Кафе 195г,шт,259.99,,195 г
251C13980,Жюльен из курицы с грибами замороженный Российская Корона 250г,шт,269.99,,250 г
251C13980,Сэндвич с тунцом Пятерочка Кафе 180г,шт,179.99,,180 г
251C13980,Паэлья Испанское блюдо 4 Сезона 600г,шт,667.99,,600 мл
251C13980,Котлеты куриные запеченные замороженные Главобед 340г,шт,314.99,,340 г
251C13980,Азу из курицы с картофельным пюре замороженное СытоЕдов 300г,шт,199.99,175.99,300 г
251C13980,Запеканка картофельная замороженная Разогрей-Ка 250г,шт,199.99,,250 г
251C13980,Блюдо готовое Фондю Эменталь замороженное 4 сезона 600г,шт,657.99,,600 г
251C13980,Соба с куриным филе в пряных овощах и карамелизированным луком забороженная Oso-bo 250г,шт,259.99,199.99,250 г
251C13980,Удон с мясом цыпленка в спайси соусе и карамелизированным луком замороженный Oso-bo 250г,шт,332.99,,250 г
251C13980,Хашбраун Пятерочка Кафе 190г,шт,204.99,,190 г
251C13980,Котлеты растительные замороженные Hi 200г,шт,229.99,189.99,200 г
251C13980,Спагетти Карбонара замороженные Фросток 210г,шт,288.99,,210 г
251C13980,Крем-суп свекольный с кокосовым молоком Clever Foods 1л,шт,249.99,,1 л
251C13980,Беляши Омские жареные замороженные Дарина 400г,шт,299.99,249.99,400 г
251C13106,Онигири с тунцом и соусом Спайси Пятерочка Кафе 110г,шт,129.99,,110 г
251C13106,Онигири с крабовыми палочками и соусом Спайси Пятерочка Кафе 110г,шт,119.99,,110 г
251C13106,Онигири с кальмаром и соусом Том Ям Пятерочка Кафе 110г,шт,129.99,,110 г
251C13106,"Онигири с угрем, курицей и шампиньонами Пятерочка Кафе 110г",шт,139.99,,110 г
251C13106,Ролл Симфония с креветкой темпура Пятерочка Кафе 180г,шт,259.99,,180 г
251C13106,Ролл Симфония с крабовыми палочками и соусом васаби Пятерочка Кафе 180г,шт,209.99,,180 г
251C13106,Ролл Симфония с курицей и соусом цезарь Пятерочка Кафе 180г,шт,209.99,,180 г
251C13106,Онигири с курицей терияки Пятерочка Кафе 110г,шт,114.99,,110 г
251C13107,Кофе Американо Гранде 320мл,шт,79.99,,320 мл
251C13107,Кофе Большой Американо 230мл,шт,49.99,,230 мл
251C13107,Кофе Латте 330мл,шт,99.99,,330 мл
251C13107,Кофе Капучино Большой 270мл,шт,99.99,,270 мл
251C13107,Кофе Двойной Эспрессо 100мл,шт,79.99,,100 мл
251C13107,Кофе Флэт Уайт 200мл,шт,99.99,,200 мл
251C13107,Кофе с молоком 260мл,шт,99.99,,260 мл
251C13109,Багет ржаной чесночный 180г,шт,69.99,,180 г
251C13109,Багет традиционный 230г,шт,45.99,,230 г
251C13109,Улитка с корицей 80г,шт,39.99,,80 г
251C13109,Улитка Греческая с курицей и картофелем 160г,шт,59.99,,160 г
251C13109,Чиабатта Рустик 290г,шт,59.99,,290 г
251C13109,Лепешка томаты с базиликом 165г,шт,79.99,,165 г
251C13109,Розан с начинкой Черная смородина 120г,шт,39.99,,120 г
251C13109,Улитка Греческая с мясом 160г,шт,59.99,,160 г
251C13109,Багет чесночный 158г,шт,69.99,,158 г
251C13109,Донат с шоколадной начинкой 70г,шт,49.99,,70 г
251C13109,Багет Фитнес 200г,шт,49.99,,200 г
251C13109,Улитка Греческая со шпинатом и сыром 160г,шт,59.99,,160 г
251C13109,Маффин с шоколадом 2х120г,шт,99.99,,240 г
251C13109,Слойка с начинкой Вишня 81г,шт,29.99,,81 г
251C13109,Пирог домашний с творожной начинкой 96г,шт,39.99,,96 г
251C13109,Слойка с малиной 75г,шт,29.99,,75 г
251C13109,Хлебушек заварной бездрожжевой 315г,шт,65.99,,315 г
251C13109,Самса с курицей и овощами 100г,шт,49.99,,100 г
251C13109,Пекан кленовый 70г,шт,59.99,,70 г
251C13109,Элеш с курицей 220г,шт,79.99,,220 г
251C13109,Багет мини 120г,шт,25.99,,120 г
251C13109,Донат с черничной начинкой 67г,шт,59.99,,67 г
251C13109,Слойка с ветчиной и сыром 80г,шт,39.99,,80 г
251C13109,Слойка с сосиской 75г,шт,45.99,,75 г
251C13109,Круассан с миндалем 68г,шт,79.99,,68 г
251C13109,Улитка с ванильной начинкой и изюмом 90г,шт,45.99,,90 г
251C13109,Пирожок с яйцом и зеленым луком 65г,шт,35.99,,65 г
251C13109,Шосон с творогом и абрикосовой начинкой 102г,шт,49.99,,102 г
251C13109,Хлеб Маг с семечками 390г,шт,75.99,,390 г
251C13109,Пирожок с начинкой Капуста 75г,шт,35.99,,75 г
251C13109,Донат с начинкой со вкусом манго 67г,шт,59.99,,67 г
251C13109,Булочка с корицей замороженная п/ф 90г,шт,40.99,,90 г
251C13109,Чиабатта пшеничная 100г,шт,29.99,,100 г
251C13109,Круассан классический 50г,шт,29.99,,50 г
251C13109,Пиццетта с салями 85г,шт,49.99,,85 г
251C13109,Плетенка с маком 204г,шт,79.99,,204 г
251C13109,Пончики Берлинские с вареной сгущенкой 2х65г,шт,49.99,,130 г
251C13109,Донат Новогодний глазированный 65г,шт,59.99,,65 г
